2012_cohort ! C, Dataset name, Length<51
2012_cohort ! C, Main output file name, Length<21
501 ! I, Number of offspring in the sample
11 ! I, Number of loci
123 ! I, Seed for random number generator
0 ! B, 0/1=Not updating/updating allele frequency
2 ! 2/1=Dioecious/Monoecious
0 ! B, 0/1=Diploid species/HaploDiploid species
0 0 ! B, 0/1=Polygamy/Monogamy for males & females
0 0 0 ! B, R, R : Use sibship prior, Y/N=1/0. If Yes, give mean paternal, maternal sibship size
0 ! B, 0/1=Unknown/Known population allele frequency

1 ! I, Number of runs
3 ! I, Length of Run (1, 2, 3) = (Short, Medium, Long)
1 ! B, 0/1=Monitor method by Iterate#/Time in second
100 ! I, Monitor interval in Iterate#/Seconds
0 ! B, 0/1=Other platform/Windows execution
0 ! 1/0=Full-likelihood/pairwise-likelihood score method
2 ! 1/2/3=low/medium/high precision


201a 209a 249a 253a 215a 311a 409a 211a 208a 212a 515a !Marker IDs
0 0 0 0 0 0 0 0 0 0 0 !Marker types, 0/1=Codominant/Dominant
0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 !Marker-specific allelic dropout rate
0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 !Other marker-specific typing-error rate


MR12TH_001 182 186 192 204 237 297 231 235 243 247 332 402 185 221 270 274 195 231 142 164 233 233 !Offspring ID and genotypes
MR12TH_002 222 230 240 240 249 257 201 231 207 207 312 340 193 249 242 262 231 259 142 146 201 219 
MR12TH_003 218 230 200 240 257 277 163 163 243 249 328 402 227 249 262 274 207 235 146 164 201 207 
MR12TH_004 182 210 186 240 233 241 159 207 207 243 316 356 181 181 254 262 207 207 134 138 219 233 
MR12TH_005 202 230 154 198 229 241 179 179 229 247 328 336 137 177 200 266 219 243 134 168 199 207 
MR12TH_006 202 230 196 236 229 281 159 175 247 249 328 336 181 185 238 238 183 211 142 152 201 207 
MR12TH_007 210 230 154 200 229 237 175 231 253 253 308 320 119 137 234 242 195 203 138 164 201 227 
MR12TH_008 210 234 180 248 229 237 175 183 233 241 320 348 201 255 242 290 179 179 168 172 199 203 
MR12TH_009 186 226 154 250 237 237 179 223 223 249 312 316 137 191 242 242 187 243 142 168 193 205 
MR12TH_010 194 218 154 200 181 205 163 183 265 265 394 402 181 189 242 242 219 243 142 152 199 201 
MR12TH_011 182 230 200 200 237 277 175 231 249 257 272 392 115 187 242 282 227 247 142 142 201 221 
MR12TH_012 198 210 154 200 185 249 179 201 245 253 236 304 137 247 226 286 203 227 164 168 201 227 
MR12TH_013 190 226 154 158 181 265 179 223 243 285 332 336 193 193 238 274 203 219 134 146 205 233 
MR12TH_014 202 202 176 200 217 233 201 231 241 243 284 332 181 235 258 262 247 255 168 168 205 219 
